Estacao,Data,Hora,Precipitacao
83781,21/04/1962,1200,0
83781,22/04/1962,1200,0
83781,23/04/1962,1200,0
83781,24/04/1962,1200,0
83781,25/04/1962,1200,0
83781,26/04/1962,1200,0.2
83781,27/04/1962,1200,0
83781,28/04/1962,1200,0.1
83781,29/04/1962,1200,3.6
83781,30/04/1962,1200,20.4
83781,01/05/1962,1200,0
83781,02/05/1962,1200,1.5
83781,03/05/1962,1200,1.2
83781,04/05/1962,1200,8.9
83781,05/05/1962,1200,2.1
83781,06/05/1962,1200,0
83781,07/05/1962,1200,0
83781,08/05/1962,1200,0.1
83781,09/05/1962,1200,0
83781,10/05/1962,1200,0
83781,11/05/1962,1200,0
83781,12/05/1962,1200,0
83781,13/05/1962,1200,0
83781,14/05/1962,1200,0
83781,15/05/1962,1200,0
83781,16/05/1962,1200,0
83781,17/05/1962,1200,0
83781,18/05/1962,1200,0
83781,19/05/1962,1200,0.7
83781,20/05/1962,1200,0
83781,21/05/1962,1200,0
83781,22/05/1962,1200,0
83781,23/05/1962,1200,0
83781,24/05/1962,1200,0
83781,25/05/1962,1200,0
83781,26/05/1962,1200,0
83781,27/05/1962,1200,0.1
83781,28/05/1962,1200,0
83781,29/05/1962,1200,1.9
83781,30/05/1962,1200,0
83781,31/05/1962,1200,0.8
83781,01/06/1962,1200,0
83781,02/06/1962,1200,0
83781,03/06/1962,1200,5
83781,04/06/1962,1200,0.5
83781,05/06/1962,1200,0
83781,06/06/1962,1200,0
83781,07/06/1962,1200,1.3
83781,08/06/1962,1200,1.6
83781,09/06/1962,1200,3
83781,10/06/1962,1200,0
83781,11/06/1962,1200,0
83781,12/06/1962,1200,0
83781,13/06/1962,1200,0.1
83781,14/06/1962,1200,0.4
83781,15/06/1962,1200,0
83781,16/06/1962,1200,0
83781,17/06/1962,1200,0
83781,18/06/1962,1200,0
83781,19/06/1962,1200,0
83781,20/06/1962,1200,0
83781,21/06/1962,1200,0
83781,22/06/1962,1200,0
83781,23/06/1962,1200,0
83781,24/06/1962,1200,0
83781,25/06/1962,1200,0
83781,26/06/1962,1200,0
83781,27/06/1962,1200,0
83781,28/06/1962,1200,0
83781,29/06/1962,1200,0
83781,30/06/1962,1200,0
83781,01/07/1962,1200,0
83781,02/07/1962,1200,0
83781,03/07/1962,1200,0
83781,04/07/1962,1200,0
83781,05/07/1962,1200,0
83781,06/07/1962,1200,0
83781,07/07/1962,1200,0
83781,08/07/1962,1200,0
83781,09/07/1962,1200,0
83781,10/07/1962,1200,11.7
83781,11/07/1962,1200,10.6
83781,12/07/1962,1200,0
83781,13/07/1962,1200,0
83781,14/07/1962,1200,0
83781,15/07/1962,1200,0
83781,16/07/1962,1200,0
83781,17/07/1962,1200,0
83781,18/07/1962,1200,0
83781,19/07/1962,1200,1.2
83781,20/07/1962,1200,0.1
83781,21/07/1962,1200,0
83781,22/07/1962,1200,0
83781,23/07/1962,1200,0
83781,24/07/1962,1200,7.5
83781,25/07/1962,1200,3.7
83781,26/07/1962,1200,0
83781,27/07/1962,1200,0
83781,28/07/1962,1200,0
83781,29/07/1962,1200,0
83781,30/07/1962,1200,0
83781,31/07/1962,1200,0
83781,01/08/1962,1200,0
83781,02/08/1962,1200,0
83781,03/08/1962,1200,0
83781,04/08/1962,1200,0
83781,05/08/1962,1200,0
83781,06/08/1962,1200,0
83781,07/08/1962,1200,0
83781,08/08/1962,1200,0
83781,09/08/1962,1200,0
83781,10/08/1962,1200,0
83781,11/08/1962,1200,0
83781,12/08/1962,1200,0.1
83781,13/08/1962,1200,0
83781,14/08/1962,1200,0
83781,15/08/1962,1200,0
83781,16/08/1962,1200,0
83781,17/08/1962,1200,13.6
83781,18/08/1962,1200,0
83781,19/08/1962,1200,0
83781,20/08/1962,1200,0
83781,21/08/1962,1200,0
83781,22/08/1962,1200,0
83781,23/08/1962,1200,33.4
83781,24/08/1962,1200,3.2
83781,25/08/1962,1200,0
83781,26/08/1962,1200,0
83781,27/08/1962,1200,0
83781,28/08/1962,1200,0
83781,29/08/1962,1200,0
83781,30/08/1962,1200,0
83781,31/08/1962,1200,0
83781,01/09/1962,1200,0
83781,02/09/1962,1200,0
83781,03/09/1962,1200,0
83781,04/09/1962,1200,0
83781,05/09/1962,1200,0.3
83781,06/09/1962,1200,0
83781,07/09/1962,1200,0
83781,08/09/1962,1200,0
83781,09/09/1962,1200,32.7
83781,10/09/1962,1200,0
83781,11/09/1962,1200,0
83781,12/09/1962,1200,0
83781,13/09/1962,1200,0
83781,14/09/1962,1200,0.1
83781,15/09/1962,1200,0
83781,16/09/1962,1200,0
83781,17/09/1962,1200,0
83781,18/09/1962,1200,0
83781,19/09/1962,1200,0
83781,20/09/1962,1200,0
83781,21/09/1962,1200,2.3
83781,22/09/1962,1200,4.3
83781,23/09/1962,1200,1.1
83781,24/09/1962,1200,0.2
83781,25/09/1962,1200,0
83781,26/09/1962,1200,0
83781,27/09/1962,1200,0
83781,28/09/1962,1200,0
83781,29/09/1962,1200,1.2
83781,30/09/1962,1200,4.7
83781,01/10/1962,1200,0.6
83781,02/10/1962,1200,2
83781,03/10/1962,1200,13.9
83781,04/10/1962,1200,13.7
83781,05/10/1962,1200,3.8
83781,06/10/1962,1200,0.3
83781,07/10/1962,1200,0
83781,08/10/1962,1200,0
83781,09/10/1962,1200,21.8
83781,10/10/1962,1200,2
83781,11/10/1962,1200,8.8
83781,12/10/1962,1200,6.5
83781,13/10/1962,1200,0.1
83781,14/10/1962,1200,0
83781,15/10/1962,1200,0
83781,16/10/1962,1200,0
83781,17/10/1962,1200,3.9
83781,18/10/1962,1200,14.8
83781,19/10/1962,1200,29.6
83781,20/10/1962,1200,6.6
83781,21/10/1962,1200,0
83781,22/10/1962,1200,0
83781,23/10/1962,1200,0
83781,24/10/1962,1200,0
83781,25/10/1962,1200,10.9
83781,26/10/1962,1200,0
83781,27/10/1962,1200,0
83781,28/10/1962,1200,0
83781,29/10/1962,1200,7.7
83781,30/10/1962,1200,8.6
83781,31/10/1962,1200,26.7
83781,01/11/1962,1200,0
83781,02/11/1962,1200,0
83781,03/11/1962,1200,0
83781,04/11/1962,1200,0
83781,05/11/1962,1200,0
83781,06/11/1962,1200,0
83781,07/11/1962,1200,21.8
83781,08/11/1962,1200,0.1
83781,09/11/1962,1200,18.8
83781,10/11/1962,1200,5.5
83781,11/11/1962,1200,0
83781,12/11/1962,1200,0
83781,13/11/1962,1200,0
83781,14/11/1962,1200,0
83781,15/11/1962,1200,0
83781,16/11/1962,1200,0
83781,17/11/1962,1200,0
83781,18/11/1962,1200,0
